student_number,student_id,rdm_condition,condition_assignment,FH2T,DragonBox,Instant,Delay,initial_school_id,virtual,initial_teacher_id,initial_teacher_class,initial_section_number,final_school_id,final_teacher_id,final_teacher_class,final_section_number,courseName,movement,stay_INPERSON,stay_VIRTUAL,INP_VIR,VIR_INP,KEEP,student_raceEthnicityFed,student_hispanicEthnicity,FEMALE,MALE,ScaleScore_5th grade,PerformanceLevel_5th grade,Scale.Score_7th.grade,Performance.Level_7th.grade,math_score_7th.grade,EIP,EL_PARENT_DENIED,ESOL_C,ESOL_FORMER,ESOL,GIFTED,IEP,IST,LEPM1,LEPM2,LEPM3,LEPM4,SECTION504,SST,IN5,AbsentDays5,PresentDays5,UnexcusedDays5,MOBILE5,G5SCHOOL,G5SCHOOL2,G5SCHOOL3,MEMBERSHIPDAYS5,ADM5,ADA5,Absencesavg.Daily5,PercentInAttendance5,IN6,AbsentDays6,PresentDays6,UnexcusedDays6,MOBILE6,G6SCHOOL,G6SCHOOL2,G6SCHOOL3,MEMBERSHIPDAYS6,ADM6,ADA6,Absencesavg.Daily6,PercentInAttendance6,fidelity_started_sum,fidelity_complete_sum,fidelity_complete_percent,pre.total_math_score,pre.percentage_math_score,pre.sub_P_score,pre.sub_C_score,pre.sub_F_score,pre.math_completed_num,pre.math_completed_percent,pre.total_time_on_tasks,pre.avg_time_on_tasks,pre_MA_total_score,pre_MA_avg_score,pre_negative_reaction_score,pre_numerical_confindence_score,pre_worry_score,pre_MSE_total_score,pre_MSE_avg_score,pre_PS_tasks_total_score,pre_PS_completed_num,pre_PS_completed_percent,pre_PS_total_RT_sec,pre_PS_total_RT_min,pre_PS_avg_RT_sec,mid.total_math_score,mid.percentage_math_score,mid.sub_P_score,mid.sub_C_score,mid.sub_F_score,mid.math_completed_num,mid.math_completed_percent,mid.total_time_on_tasks,mid.avg_time_on_tasks,mid_MA_total_score,mid_MA_avg_score,mid_negative_reaction_score,mid_numerical_confindence_score,mid_worry_score,mid_PS_tasks_total_score,mid_PS_completed_num,mid_PS_completed_percent,mid_PS_total_RT_sec,mid_PS_total_RT_min,mid_PS_avg_RT_sec,post.total_math_score,post.percentage_math_score,post.sub_P_score,post.sub_C_score,post.sub_F_score,post.math_completed_num,post.math_completed_percent,post.total_time_on_tasks,post.avg_time_on_tasks,post_MA_total_score,post_MA_avg_score,post_negative_reaction_score,post_numerical_confindence_score,post_worry_score,post_MSE_total_score,post_MSE_avg_score,post_PS_tasks_total_score,post_PS_completed_num,post_PS_completed_percent,post_PS_total_RT_sec,post_PS_total_RT_min,post_PS_avg_RT_sec,delayed.total_math_score,delayed.percentage_math_score,delayed.sub_P_score,delayed.sub_C_score,delayed.sub_F_score,delayed.math_completed_num,delayed.math_completed_percent,delayed.total_time_on_tasks,delayed.avg_time_on_tasks,delayed_PS_tasks_total_score,delayed_PS_completed_num,delayed_PS_completed_percent,delayed_PS_total_RT_sec,delayed_PS_total_RT_min,delayed_PS_avg_RT_sec,started_intro_survey,complete_intro_survey,started_assignment_2,complete_assignment_2,started_assignment_3,complete_assignment_3,started_assignment_4,complete_assignment_4,started_assignment_5,complete_assignment_5,started_common_mid,complete_common_mid,started_assignment_7,complete_assignment_7,started_assignment_8,complete_assignment_8,started_assignment_9,complete_assignment_9,started_assignment_10,complete_assignment_10,started_assignment_11,complete_assignment_11,started_closing_survey,complete_closing_survey,started_delayed_posttest,complete_delayed_posttest
113418,F7S0804-102,Dragon,DragonBox,0,1,0,0,S08,0,F7T0804,F7T0804-2,2,S08,F7T0804,F7T0804-2,2,Mathematics,INPERSON,1,0,0,0,1,7,N,1,0,519,Developing Learner,504,Developing Learner,75,1,0,0,0,0,0,0,0,0,0,,,0,1,1,13,166,6,1,JOHNS CREEK,,,179,1,0.93,0.03,92.74,1,10.82,167.18,7.82,1,RMS,,,178,1,0.94,0.04,93.92,5,2,0.1538461538,3,30,1,1,1,10,100,611.794,61.1794,22,2.444444444,5,9,8,12,2.4,7,16,100,375.572228,6.259537133,23.47326425,,,,,,,,,,,,,,,,,,,,,4,40,1,2,1,10,100,358.026,35.8026,26,2.888888889,9,9,8,8,1.6,4,16,100,162.930161,2.715502683,10.18313506,,,,,,,,,,,,,,,,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
114168,F7S0804-103,FH2T,FH2T,1,0,0,0,S08,0,F7T0804,F7T0804-2,2,S08,F7T0804,F7T0804-2,2,Mathematics,INPERSON,1,0,0,0,1,6,N,1,0,523,Developing Learner,536,Proficient Learner,80,0,0,0,0,0,0,0,0,0,0,,,0,0,1,3,176,1,1,SHARON,,,179,1,0.98,0.01,98.32,1,3.97,174.03,2.12,1,RMS,,,178,1,0.98,0.01,97.77,8,5,0.3846153846,3,30,1,1,1,10,100,596.58,59.658,13,1.444444444,5,2,6,18,3.6,6,16,100,429.381907,7.156365117,26.83636919,,,,,,,,,,,,,,,,,,,,,2,20,0,1,1,10,100,405.635,40.5635,16,1.777777778,7,1,8,24,4.8,4,16,100,322.251289,5.370854817,20.14070556,2,20,1,0,1,10,100,909.196,90.9196,8,16,100,328.505224,5.475087067,20.5315765,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0
119013,F7S0804-105,FH2T,FH2T,1,0,0,0,S08,0,F7T0804,F7T0804-1,1,S08,F7T0804,F7T0804-1,1,Mathematics,INPERSON,1,0,0,0,1,1,Y,0,1,559,Proficient Learner,566,Proficient Learner,87,0,0,0,0,0,0,0,0,0,0,,,0,0,1,2,177,2,1,SHARON,,,179,1,0.99,0.01,98.88,1,6.56,171.44,3.02,1,RMS,,,178,1,0.96,0.02,96.31,9,5,0.3846153846,5,50,2,2,1,10,100,348.366,34.8366,8,0.8888888889,1,3,4,19,3.8,7,16,100,160.721603,2.678693383,10.04510019,,,,,,,,,,,,,,,,,,,,,3,30,1,2,0,7,70,104.057,14.86528571,,,,,,,,7,12,75,72.735573,1.21225955,6.06129775,4,40,2,2,0,10,100,477.307,47.7307,7,16,100,230.385823,3.839763717,14.39911394,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,1,0
119050,F7S0804-106,ASSISTments,Instant,0,0,1,0,S08,0,F7T0804,F7T0804-2,2,S08,F7T0804,F7T0804-2,2,Mathematics,INPERSON,1,0,0,0,1,6,N,0,1,568,Proficient Learner,566,Proficient Learner,82,0,0,0,0,0,0,0,1,0,0,,,0,0,1,4,175,1,1,JOHNS CREEK,,,179,1,0.98,0.01,97.77,1,9.6,168.4,3.94,1,RMS,,,178,1,0.95,0.02,94.61,10,9,0.6923076923,3,30,1,0,2,10,100,359.148,35.9148,4,0.4444444444,0,2,2,24,4.8,6,16,100,399.714799,6.661913317,24.98217494,4,40,1,1,2,10,100,299.325,29.9325,,,,,,7,12,75,221.823016,3.697050267,18.48525133,0,0,0,0,0,10,100,218.325,21.8325,3,0.3333333333,1,2,0,23,4.6,6,16,100,143.614498,2.393574967,8.975906125,4,40,2,1,1,10,100,412.854,41.2854,7,16,100,286.260281,4.771004683,17.89126756,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
119058,F7S0804-107,FH2T,FH2T,1,0,0,0,S08,0,F7T0804,F7T0804-3,6,S08,F7T0804,F7T0804-3,6,Mathematics,INPERSON,1,0,0,0,1,6,N,1,0,579,Proficient Learner,561,Proficient Learner,95,0,0,0,0,0,0,0,0,0,0,,,0,0,1,6,173,6,1,JOHNS CREEK,,,179,1,0.97,0.03,96.65,1,4.64,173.36,3.65,1,RMS,,,178,1,0.97,0.02,97.39,7,5,0.3846153846,3,30,1,1,1,10,100,1927.651,192.7651,14,1.555555556,4,7,3,18,3.6,6,16,100,498.887972,8.314799533,31.18049825,,,,,,,,,,,,,,,,,,,,,4,40,2,2,0,10,100,31.385,3.1385,15,1.666666667,6,5,4,12,2.4,7,16,100,26.062277,0.4343712833,1.628892313,3,30,1,2,0,10,100,28.929,2.8929,5,16,100,11.801781,0.19669635,0.7376113125,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
119060,F7S0804-108,Dragon,DragonBox,0,1,0,0,S08,0,F7T0804,F7T0804-2,2,S08,F7T0804,F7T0804-2,2,Mathematics,INPERSON,1,0,0,0,1,3,N,1,0,585,Distinguished Learner,516,Developing Learner,79,0,0,0,0,0,0,0,0,0,0,,,0,0,1,5,174,2,1,JOHNS CREEK,,,179,1,0.97,0.01,97.21,1,2.36,175.64,0,1,RMS,,,178,1,0.99,0,98.67,8,5,0.3846153846,4,40,2,1,1,10,100,576.643,57.6643,3,0.3333333333,0,1,2,14,2.8,6,13,81.25,153.182217,2.55303695,11.78324746,6,60,1,3,2,10,100,517.163,51.7163,17,1.888888889,5,7,5,8,16,100,219.710555,3.661842583,13.73190969,2,20,1,1,0,10,100,194.819,19.4819,7,0.7777777778,1,4,2,18,3.6,6,16,100,53.328376,0.8888062667,3.3330235,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
119067,F7S0804-109,ASSISTments,Instant,0,0,1,0,S08,0,F7T0804,F7T0804-2,2,S08,F7T0804,F7T0804-2,2,Mathematics,INPERSON,1,0,0,0,1,6,N,1,0,564,Proficient Learner,502,Developing Learner,79,0,0,0,0,0,0,0,1,0,0,,,0,0,1,1,166,1,1,JOHNS CREEK,,,167,0.93,0.93,0.01,99.4,1,0.52,177.48,0,1,RMS,,,178,1,1,0,99.71,10,7,0.5384615385,2,20,1,1,0,10,100,568.573,56.8573,20,2.222222222,5,6,9,12,2.4,7,16,100,292.237973,4.870632883,18.26487331,1,10,0,0,1,10,100,123.648,12.3648,23,2.555555556,6,9,8,2,16,100,319.744745,5.329079083,19.98404656,2,20,1,0,1,10,100,199.747,19.9747,18,2,6,5,7,19,3.8,4,16,100,129.301962,2.1550327,8.081372625,3,30,1,0,2,10,100,229.736,22.9736,5,16,100,235.172025,3.91953375,14.69825156,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0
119211,F7S0804-111,FH2T,FH2T,1,0,0,0,S08,0,F7T0804,F7T0804-3,6,S08,F7T0804,F7T0804-3,6,Mathematics,INPERSON,1,0,0,0,1,7,N,1,0,530,Proficient Learner,536,Proficient Learner,89,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,179,0,1,SETTLES BRIDGE,,,179,1,1,0,100,1,1.07,176.93,0,1,RMS,,,178,1,0.99,0,99.4,10,9,0.6923076923,3,30,1,2,0,10,100,735.578,73.5578,5,0.5555555556,3,0,2,21,4.2,8,16,100,435.208595,7.253476583,27.20053719,,,,,,0,0,0,,,,,,,,,,,,,2,20,1,1,0,10,100,145.929,14.5929,25,2.777777778,9,7,9,11,2.2,10,16,100,74.043587,1.234059783,4.627724188,3,30,1,0,2,10,100,36.803,3.6803,5,16,100,39.26668,0.6544446667,2.4541675,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1
119212,F7S0804-112,FH2T,FH2T,1,0,0,0,S08,0,F7T0804,F7T0804-3,6,S08,F7T0804,F7T0804-3,6,Mathematics,INPERSON,1,0,0,0,1,6,N,1,0,621,Distinguished Learner,725,Distinguished Learner,99,0,0,0,0,0,0,0,0,0,0,,,0,0,1,3,176,3,1,SETTLES BRIDGE,,,179,1,0.98,0.02,98.32,1,1.83,176.17,1.64,1,RMS,,,178,1,0.99,0.01,98.97,13,13,1,6,60,2,2,2,10,100,799.981,79.9981,13,1.444444444,5,0,8,20,4,14,16,100,586.678656,9.7779776,36.667416,7,70,2,2,3,10,100,890.498,89.0498,14,1.555555556,5,0,9,8,16,100,328.718846,5.478647433,20.54492788,4,40,1,1,2,10,100,607.614,60.7614,19,2.111111111,8,2,9,19,3.8,4,16,100,234.172149,3.90286915,14.63575931,5,50,1,2,2,10,100,125.909,12.5909,5,16,100,73.241831,1.220697183,4.577614438,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
119290,F7S0804-113,Dragon,DragonBox,0,1,0,0,S08,0,F7T0804,F7T0804-2,2,S08,F7T0804,F7T0804-2,2,Mathematics,INPERSON,1,0,0,0,1,6,N,0,1,555,Proficient Learner,534,Proficient Learner,81,0,0,0,0,0,0,0,0,0,0,,,0,0,1,3,176,0,1,SETTLES BRIDGE,,,179,1,0.98,0,98.32,1,0.43,177.57,0,1,RMS,,,178,1,1,0,99.76,9,4,0.3076923077,5,50,1,1,3,10,100,347.764,34.7764,17,1.888888889,2,9,6,17,3.4,6,16,100,255.904554,4.2650759,15.99403463,6,60,2,3,1,10,100,947.288,94.7288,,,,,,7,12,75,397.557774,6.6259629,33.1298145,5,50,1,3,1,10,100,747.906,74.7906,23,2.555555556,5,9,9,18,3.6,9,16,100,785.172673,13.08621122,49.07329206,3,30,0,1,2,10,100,302.377,30.2377,8,16,100,208.074703,3.467911717,13.00466894,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0
